username,password,full name,balance
jmacduff0,pJ3.4KSqOA,Judye MacDuff,$29005.34
nruperti1,"jF4(1h1_zg@I""w",Nerty Ruperti,$26890.40
bsmall2,gU4|p|o{eUc0,Basilio Small,$64160.64
rsiggin3,uM4%bpW*vr?l,Roby Siggin,$88873.99
meles4,dG9<M)=m,Montague Eles,$35074.17
smckelvey5,bV0{k8ZwJp?9tH,Sebastien McKelvey,$24131.31
cjaukovic6,"uT9=""~\c8v@<0+",Caril Jaukovic,$20250.41
skorn7,"rF0,<f(0g>",Solly Korn,$49526.59
hkiley8,pW2*!9&Ml%3R,Harcourt Kiley,$38358.80
hstorre9,rR8}|!Sr$Lc,Hildegarde Storre,$29121.80
gbunyana,"hE8>""SIM",Gelya Bunyan,$88058.18
bspringellb,eG8@Liu_aPw$H0`5,Bjorn Springell,$62444.04
tdevericksc,lZ2+'xamg3M,Taryn Devericks,$18201.04
ldoerlingd,uA0|>lw!J)J,Ladonna Doerling,$17361.23
cnovaceke,uG3*GO>)#9>*13,Cammie Novacek,$22167.42
chaggisf,xQ7!<B7w5Wx8,Clyde Haggis,$17612.45
rpenhalurickg,gK7)p+(VY&ar,Rebecca Penhalurick,$15890.16
malveyh,pF9/IR>%,Marcille Alvey,$73581.42
aruppelii,fI0/M{pt,Ailee Ruppeli,$30119.63
tbrufordj,"oD5,@6?!F",Tomaso Bruford,$80840.38
dhalliburtonk,pA9('`3cJa{0P3FU,Danika Halliburton,$27973.95
mdiesl,"lK6""YX)YszQ@C}1&",Matthaeus Dies,$16563.69
nmawdm,oF8'3loNNBm'%84,Nobie Mawd,$27287.91
fjarradn,kL2>!p$DVq0(C~x,Fifi Jarrad,$86272.87
nstotero,"cA1?5VQ}!OI.L""",Nanon Stoter,$71418.98
kcarnierp,pJ8/%i<\..7_}#AS,Kasper Carnier,$90018.49
dmccruddenq,lD0{c$.wo,Denver McCrudden,$20550.99
gobrianr,gL5$mcZ%`+#7.,Gilburt O'Brian,$94947.56
dforrests,"hU5%2=?"",",Dulcy Forrest,$13193.79
hhatchardt,"tS6""ZF""2cY2",Harwilll Hatchard,$19836.05
cavisonu,oS3&\0A6qU'+|L}N,Courtnay Avison,$33296.10
mkearnv,"nY6<u2stdFAH5p,",Myrilla Kearn,$59342.78
ehampsonw,pL0~#%=wBMP=M~,Eb Hampson,$21994.84
ljanjusevicx,"pP6+v=c5y""q",Lee Janjusevic,$50278.61
cbastony,zM7@!xW=v=E=,Claribel Baston,$93533.43
bwhapplesz,sO6(Q&|uX}2u&j,Bertha Whapples,$30545.90
mcaress10,oS7_zogt,Maudie Caress,$59966.98
mavard11,bW8&`_f@fTYbyi#,Meredith Avard,$40853.00
pbortolini12,"zH4)UEgn""fpq#$i",Pamelina Bortolini,$44566.94
rknellen13,bP8#sz(.*y,Reagan Knellen,$63224.34
jtuckwell14,lH0<h8NLGCu3kV9y,Jordan Tuckwell,$61591.59
myukhnin15,yE5)}#}!2Qlm,Mellie Yukhnin,$56432.38
mgliddon16,qS5<Ry)Un,Margot Gliddon,$85593.36
vdessent17,"hY5,A(e6Kf",Vlad Dessent,$26080.42
ostaite18,kM6%M)QTf+!,Orrin Staite,$84841.87
